ɯ-pɯ	p	
ɯ-pʰɯ	ph	
babɯ	b	
mbɯt	mb	
m XXX
wɯwɯ	w	
tɯ-boʁ	t	
tʰɯ-ɣi	th	
dɯdɯt	d	
ndɯ	nd 	
ts XXX
ɯ-tsʰɯɣa	tsh2 tsʰɯtʰo	tsh 	
dzɯrdzɯr	dz 	
ndzɯpe	ndz 	
nɯŋa	n 	
sɯmat	s 	
zɯmi	z 	
lɯlu	l 	
ɬɯɣnɤɬɯɣ	lh 	
tʂɯmpa	tsx 	
tʂʰɯɣ	tsxh
dʐɯɣdʐɯɣ	dzx
ndʐɯnbu	ndzx	
ʂɯŋʂɯŋ	sx	
rɯ	r 	
ɯ-tɕɯ	tC 	
tɕʰɯwur	tCh	
dʑɯβdʑɯβ	dz2
ndʑɯnɯ	ndz2	
ɕɯŋgɯ	C	
ʑɯrɯʑɤri	z2
cɯ	c2
tɤ-cʰɯ	ch	
waɟɯ	J2
ɲɟɯ	YJ
ɲɯɣɲɯɣ	Y 	
ɯ-jɯ	j 	
kɯki	k 	
kʰɯna	kh	
gɯgɯɣ	g 	
ɯ-ŋgɯ	Ng	
ɕaŋɯ	C
xɯrxɯr	x 	
ɣɯ	ɯ 	g2	
qɯqli	q 	
kɯ-sɤqʰɯqʰa	qh	
mɯɴɢɯ	NG2		
χ XXXX (X2 =χaŋχaŋ
naŋʁɯ	R2
=======================================
ɯ-wtaʁ	wt 	
wdɯt	wd 	
wtsoʁ	wts 	
wtsʰ (ftshi)  XXXX
wsaŋ	ws 	
wzaŋsa	wz 	
wtɕar	wtC 	
wtɕʰur	wtCh	
wʑar	wz2	
wtʂi	wtsx
wcaʁ	wc 	
wɟi	wJ 	
wka	wk 	
wgoz	wg 	
spoz	sp 	
smar	sm 	
staχpɯ	st 	
stʰaβ	sth	
sna	sn 	
scoʁ	sc 	
scʰɤt	sch	
sɲaŋne	sY
skɤm	sk 	
rɟɤskʰi	skh
sŋaʁ	sN2
sqamnɯz	sq 	
sqʰi	sqh 	
zbaʁ	zb 	
tɤzmbɯr	zmb	
zmɤrɤw	zm 	
zdɯm	zd 	
znde	znd 	
znɤje	zn 	
kɯ-nɯzɟɯ	zJ 	
zɲɟa	zYJ 	
zga	zg 
kɤ-ɤkhɤzŋga	zNg	
wxti	wxt 	
wstɯn	wst 	
wrtɤn	wrt 	
wskɤr	wsk 	
wzdɯ-nɯ	wzd 	
wzɟɯr	wzJ
wrɟaŋ	wrJ


