Anglais;Chinois
Japhug dictionary;茶堡嘉绒语词典
Settings;设置
Entry;词项
advanced search;高级搜索
search now;搜索
contains;包含
search!;搜索
dictionary information;关于本词典
application information;关于本应用
This application was created by the EFL Labex, find us at labex-efl.org;这款app应用软件由EFL Labex开发，官方网站为labex-efl.org
send us a mail;请给我们发送邮件
faq;常见问题
definition;词义
Search X words :;国际音标搜索：
You can search in another language:;词义搜索：
your comment;您的反馈意见
You can add a sound file;录制新例句
start;开始
stop;停止
record;录音
play;播放
send your comment as a mail;、通过邮件给我们反馈意见
add your sound file;录制新例句
cultural image;
Your comment for;您的反馈意见：
