kɯmŋu	kə-mŋô	kə-mŋɐ̂	*mŋo	五	cinq	lŋa	五	*ˁŋaʔ	a		
sŋa	ka-məsŋár	kɤ-sŋêt,sŋît	*sŋa[r;t]	复活、苏醒	revenir à soi		蘇	*ˁs-ŋa	a		
tɯ-rpa	ɕə-rpâ	tə-vrieʔ	*rpa	斧头	hache		斧	*paʔ	a		
a-ʑo	ŋa	ŋəʔ	*ŋa	我	moi	ŋa	吾	*ˁŋa	a		
ŋgra			*ŋgra	掉下	tomber		下	*ˁgraʔ-s	a		
ɣurʑa	pə-rjâ	və-rɟî	*(pə-,	一百	cent	brgja	百	*ˁprak	ak		
tɯ-jaʁ	ta-ják	tə-jɐ̂χ	*ljaq	手	main	lag	胳	*k-lak	ak		
tɤ-rʑaʁ			*rə-ljaq	一夜	une nuit	ʑag	夜	*lak-s	ak		
tɯ-rpaʁ	ta-rpák		*rpaq	肩膀	épaule	pʰrag	膊	*ˁpak	ak		
no	ka-nô	kɐ-nɐ,nɐʔ,niʔ	*naŋ	驱逐	chasser	snaŋ	攘	*naŋʔ	aŋ		
rɤʑa			*rɐja	痒	gratter	gja	癢	*jaŋ	aŋ		
rko	kə-rkô	kə-nkʌʔ,nkɐ̂	*[r]kaŋ	硬	dur	mkʰraŋ-po	硬	*ˁŋraŋ-s	aŋ		
pɣo	ka-pó		*paˠŋ	纺	filer	ɴpʰaŋ-ma	紡	*pʰaŋʔ	aŋ		
qa-ʑo	kə-jó	ʁiɐʔ	*jaŋ	绵羊	mouton	gjaŋ-dkar	羊	*laŋ	aŋ		
sɯso	səsô_ka-pa	kɐ-səsɐʔ<	*saŋ	思考	penser		想	*saŋʔ	aŋ		
rŋu	ka-rŋô	kɐ-rŋoʔ,rŋû,rŋə̂m	*rŋo	抄	frire	rŋo	熬	*ˁŋaw	aw		
tɤ-rmi	tə-rmé	tɐ-rmiʔ	*rmij	名字	nom	miŋ	名	*meŋ	eŋ		
mbri		kə-mbriʔ,<	*mrij	叫、发出声音	crier, faire un bruit		鳴	*mreŋ	eŋ		
tɯ-mbri	tə-bré	tɐ-mbrəʔ	*mrij	绳子	corde	ɴbreŋ	繩	*mleŋ	eŋ		
sɤr	kə-tsʰár		???	新鲜	frais	gsar-pa	鮮	*ser	er		
pri	prí	praʔ	*prij	狗熊	ours		羆	*bre	er		
kɯrcat	wu-rját	və-rɟêt	???	八	huit	brgjad	八	*ˁpret	et		
sat	ka-sát		*sat	杀	tuer	bsad	殺	*ˁsret	et		
nɯŋa	nəŋá	ŋwəleʔ	*ŋwa	奶牛	vache		牛	*ŋwə	ə		
tɯ-ftsa	tə-tsá	tə-ftsɣî	*[p]tsa	侄子	neveu	tsʰa-bo	子	*tsəʔ	ə		
tɯ-rna	tə-rnâ	tə-rnaʔ	*rna	耳朵	oreille	rna	耳	*nəʔ	ə		
qa-pri	kʰa-bré	ʁɐ-prî	*prij	蛇	serpent	sbrul	虺	*ˁhməjʔ	əj		
tɤ-rme	ta-rɲê	tɐ-rmeʔ	*rmej	毛	poil		眉	*mrəj	əj		
tɤ-jme	ta-jmî	tɐ-lmeʔ	*lmej	尾巴	queue		尾	*məjʔ	əj		
qaʁ		kɐ-qɐ̂χ,qə́χ	*qaq	剥皮	enlever la peau		革	*ˁkrək	ək	1	1
ɲaʁ		kə-ɲɐ̂χ	*ɲaq	黑色	noir	nag-po	慝	*ˁhnək	ək		
qaljaʁ(qarɟaχ)		ʁɐ-liɐ̂χ	*rljaq,lə-jaq	雕	aigle	glag	弋	*lək	ək		
taʁ	ka-ták	kɐ-tɐ̂χ,tɐ̂χ,tə́χ	*taq	织	tisser	btags	織	*tək	ək		
tamɢom	ta-mkám		*mqam	夹子	tenaille		頷	*ˁm-kəm-s	əm		
	tə-mgám		*mgVm	尸体	corps		躬	*kwəŋ	əm		
tɤ-mkɯm	ta-mkâm	tɐ-mkóm	*mkom	枕头	oreiller		枕	*t-kəmʔ	əm		
ɴqiaβ	ta-ntɕáp		*n-qjap	山阴	ubac		陰	*ʔəm	əm		
χsɯm	kə-sâm	χsúm	*qsum	三	trois	gsum	三	*ˁsəm	əm		
	tə-tɕém		*qjim	房子	maison	kʰʲim	窨	*ʔəm-s	əm		
ta-qaβ	ta-káp	tɐ-ʁâv	*qap	针	aiguille	khab	針	*t-kəm	əm		
tɯ-ɟom		ki-ʎɟɐ́m	*tljam	一庹	longueur de deux bras	ɴdom-pa	覃	*ˁləm	əm		
	tɯ-wám		*wam	熊	ours	dom	熊	*wəm	əm		
tɤ-jpɣom	tə-rpam	tɐ-lvɐ́m	*lpaˠm	冰	glace		冰	*prəŋ	əm		
tɤ-zrɤm		tɐ-rzám	*srɐm	根	racine		参	*srəm	əm		
nɤ-ʑo	nô	nə-jeʔ	*naŋ	你	toi		乃	*ˁnəŋʔ	əŋ		
ɣʑo		kə-tɕʰəwu-jɐ̂	*w-jaŋ	蜜蜂	abeille	sbraŋ	蠅	*mə-ləŋ	əŋ		
tɯ-rqo		tə-rqwʌʔ	*rqwaŋ	喉咙	gorge		膺	*ʔəŋ	əŋ	1	
