1	hno:i1	天								tɯ-sŋi
1	ɬa5	月亮								tɯ-sla
1	tɕuŋ1	彩虹	匣	一	開	東	平	戸公	通	
1	hwo5>2ja:ŋ1	禍星	匣	一	合	戈	上	胡果	果
1	tin8	電	定	四	開	先	去	堂練	山
2	bwan5	雪								tɤjpa
2	po8	雹	並	二	開	江	入	蒲角	江
2	so:ŋ1	霜	生	三	開	陽	平	色莊	宕
2	mou6	雾								smug.pa?tɯmɯ?
2	dzjau5>2tsun6	旋風	邪	三	合	仙A	去	辝戀	山
2	dzjau5>2hjwi:ŋ1	旋風	邪	三	合	仙A	去	辝戀	山
2	toŋ1>2dzjau5	東風	端	一	開	東	平	德紅	通
2	fai1>2dzjau5	西風	心	四	開	齊	平	先稽	蟹
2	pa8dzjau5	北風	幫	一	開	登	入	博墨	曾
2	na:m2dzjau5	南風	泥	一	開	覃	平	那含	咸
2	tsjaŋ2ho6	時候	常	三	開	之	平	市之	止
2	tsjaŋ2ho6	時候	匣	一	開	侯	去	胡遘	流
2	tsa:n2tsjaŋ2	辰時	常	三	開	眞A	平	植鄰	臻
2	uŋ3gjwaŋ1	破晓（光？）	見	一	合	唐	平	古黃	宕
2	gjwaŋ1>2pɛ8	發白	並	二	開	庚	入	傍陌	梗
2	tshin1dzjou3	清早	清	三	開	清	平	七情	梗
2	tshin1dzjou3	清早	精	一	開	豪	上	子晧	效
2	luŋ2ma:n4>2hmwaŋ5	傍晚	明	三	合	元	上	無遠	山
3	mwan4>2mwan4	每天晚上	明	三	合	元	上	無遠	山
3	khou3hno:i1>2ɲe8	苦日子	溪	一	開	模	去	苦故	遇
3	hno:i1>2ɲe8	日子	日	三	開	眞A	入	人質	臻
3	tsi2ɬa5	正月	章	三	開	清	平	諸盈	梗
3	ɲei6ɬa5	二月	日	三	開	脂A	去	而至	止
3	fa:m1>2ɬa5	三月	心	一	開	談	去	蘇暫	咸
3	fei5ɬa5	四月	心	三	開	脂A	去	息利	止
3	ŋŋ4ɬa5	五月	疑	一	開	模	上	疑古	遇
3	lwo8ɬa5	六月	來	三	開	東	入	力竹	通
3	tshjet7ɬa5	七月	清	三	開	眞A	入	親吉	臻
3	pet7ɬa5	八月	幫	二	開	山	入	博拔	山
3	tɕwo3ɬa5	九月	見	三	開	尤	上	舉有	流

